Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.6632028818130493, 0.2393418699502945)) 	 Right eye: ((0.7704940438270569, 0.2669140696525574))
Left eye: ((0.6516116261482239, 0.2164456695318222)) 	 Right eye: ((0.7555835843086243, 0.23691202700138092))
Left eye: ((0.6476556658744812, 0.20946544408798218)) 	 Right eye: ((0.7478165626525879, 0.2330527901649475))
Left eye: ((0.6546372175216675, 0.20449429750442505)) 	 Right eye: ((0.7450615167617798, 0.23639243841171265))
Left eye: ((0.652856707572937, 0.2029629796743393)) 	 Right eye: ((0.744437575340271, 0.23860888183116913))
Left eye: ((0.6550631523132324, 0.2025405615568161)) 	 Right eye: ((0.741155743598938, 0.2222919911146164))
Left eye: ((0.655702531337738, 0.2002936601638794)) 	 Right eye: ((0.7391747236251831, 0.22573739290237427))
Left eye: ((0.6543617844581604, 0.19806814193725586)) 	 Right eye: ((0.7385244965553284, 0.2282869815826416))
Left eye: ((0.6468800902366638, 0.20440325140953064)) 	 Right eye: ((0.739730954170227, 0.22795754671096802))
Left eye: ((0.6494318246841431, 0.20392629504203796)) 	 Right eye: ((0.7437816858291626, 0.22792136669158936))
Left eye: ((0.655059814453125, 0.1981133669614792)) 	 Right eye: ((0.7429633140563965, 0.22917009890079498))
Left eye: ((0.6572166085243225, 0.1959351897239685)) 	 Right eye: ((0.7420862317085266, 0.2291608601808548))
Left eye: ((0.6539114713668823, 0.20781460404396057)) 	 Right eye: ((0.7422599196434021, 0.23334012925624847))
Left eye: ((0.6549115180969238, 0.20089906454086304)) 	 Right eye: ((0.742342472076416, 0.23206910490989685))
Left eye: ((0.6415395140647888, 0.20165356993675232)) 	 Right eye: ((0.7316110730171204, 0.21931397914886475))
Left eye: ((0.5763880610466003, 0.20409400761127472)) 	 Right eye: ((0.669287919998169, 0.22490407526493073))
Left eye: ((0.5457039475440979, 0.20519708096981049)) 	 Right eye: ((0.6405409574508667, 0.22512003779411316))
Left eye: ((0.5353332161903381, 0.2061963826417923)) 	 Right eye: ((0.6309823393821716, 0.21750286221504211))
Left eye: ((0.5396730303764343, 0.2022731602191925)) 	 Right eye: ((0.628935694694519, 0.21027769148349762))
Left eye: ((0.5370886325836182, 0.20728522539138794)) 	 Right eye: ((0.6290192604064941, 0.21988843381404877))
Left eye: ((0.5430889129638672, 0.2051077038049698)) 	 Right eye: ((0.6259640455245972, 0.2181258648633957))
Left eye: ((0.5409126281738281, 0.212254598736763)) 	 Right eye: ((0.6275936365127563, 0.21455837786197662))
Left eye: ((0.537401556968689, 0.21126872301101685)) 	 Right eye: ((0.6277850866317749, 0.21311692893505096))
Left eye: ((0.5393208861351013, 0.20515121519565582)) 	 Right eye: ((0.6292740106582642, 0.20969036221504211))
Left eye: ((0.5377246141433716, 0.20459789037704468)) 	 Right eye: ((0.6307719349861145, 0.20865634083747864))
Left eye: ((0.5353037118911743, 0.20815688371658325)) 	 Right eye: ((0.6285684704780579, 0.20991386473178864))
Left eye: ((0.5383228659629822, 0.21294128894805908)) 	 Right eye: ((0.6334280371665955, 0.213126540184021))
Left eye: ((0.5364198684692383, 0.21927295625209808)) 	 Right eye: ((0.6283157467842102, 0.21393941342830658))
Left eye: ((0.5169228911399841, 0.22852623462677002)) 	 Right eye: ((0.6038103103637695, 0.2084140032529831))
Left eye: ((0.4919397234916687, 0.2319013774394989)) 	 Right eye: ((0.5819118618965149, 0.21812529861927032))
Left eye: ((0.49423468112945557, 0.22847267985343933)) 	 Right eye: ((0.5865674614906311, 0.22105157375335693))
Left eye: ((0.49657753109931946, 0.22978924214839935)) 	 Right eye: ((0.5820342302322388, 0.22463122010231018))
Left eye: ((0.5010625720024109, 0.23482589423656464)) 	 Right eye: ((0.5779585838317871, 0.22316616773605347))
Left eye: ((0.5023428201675415, 0.240036278963089)) 	 Right eye: ((0.5789572596549988, 0.22911390662193298))
Left eye: ((0.4986035227775574, 0.23698854446411133)) 	 Right eye: ((0.5816482305526733, 0.2288970649242401))
Left eye: ((0.4993264973163605, 0.22822247445583344)) 	 Right eye: ((0.582713782787323, 0.21686986088752747))
Left eye: ((0.4993721842765808, 0.2289586216211319)) 	 Right eye: ((0.5798865556716919, 0.21664020419120789))
Left eye: ((0.4941157400608063, 0.22882595658302307)) 	 Right eye: ((0.5736172199249268, 0.22123335301876068))
Left eye: ((0.4436700642108917, 0.27554211020469666)) 	 Right eye: ((0.5158090591430664, 0.27759379148483276))
Left eye: ((0.3744328022003174, 0.3263682425022125)) 	 Right eye: ((0.45474812388420105, 0.31186965107917786))
Left eye: ((0.3730342984199524, 0.3305620849132538)) 	 Right eye: ((0.45527055859565735, 0.3187796175479889))
Left eye: ((0.37421929836273193, 0.3305530846118927)) 	 Right eye: ((0.4536972939968109, 0.31938618421554565))
Left eye: ((0.37244418263435364, 0.3342711329460144)) 	 Right eye: ((0.44978755712509155, 0.3197092115879059))
Left eye: ((0.37324094772338867, 0.3242065906524658)) 	 Right eye: ((0.4547934830188751, 0.3207317888736725))
Left eye: ((0.3773411214351654, 0.3266699016094208)) 	 Right eye: ((0.45340871810913086, 0.32195529341697693))
Left eye: ((0.37570035457611084, 0.33333468437194824)) 	 Right eye: ((0.4513270854949951, 0.310596227645874))
Left eye: ((0.37659212946891785, 0.33231478929519653)) 	 Right eye: ((0.4546116590499878, 0.31113678216934204))
Left eye: ((0.3723260462284088, 0.3336121737957001)) 	 Right eye: ((0.45831507444381714, 0.3137425184249878))
Left eye: ((0.3743220269680023, 0.3274117708206177)) 	 Right eye: ((0.46111544966697693, 0.3236084282398224))
Left eye: ((0.373541921377182, 0.3299591839313507)) 	 Right eye: ((0.4566080570220947, 0.3235645890235901))
Left eye: ((0.37453511357307434, 0.33170390129089355)) 	 Right eye: ((0.4522797167301178, 0.31124377250671387))
Left eye: ((0.37409862875938416, 0.3292917311191559)) 	 Right eye: ((0.4520106315612793, 0.32023754715919495))
Left eye: ((0.3791891038417816, 0.32582247257232666)) 	 Right eye: ((0.456673264503479, 0.32126230001449585))
Left eye: ((0.37596848607063293, 0.32832884788513184)) 	 Right eye: ((0.46123501658439636, 0.31643790006637573))
Left eye: ((0.36581385135650635, 0.3486611843109131)) 	 Right eye: ((0.44173309206962585, 0.3269796371459961))
Left eye: ((0.363649845123291, 0.3544791638851166)) 	 Right eye: ((0.4405094087123871, 0.3284797668457031))
Left eye: ((0.3691321015357971, 0.3508906960487366)) 	 Right eye: ((0.4434386193752289, 0.34288960695266724))
Left eye: ((0.3697422742843628, 0.35519644618034363)) 	 Right eye: ((0.4475964903831482, 0.34652000665664673))
