timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2024-04-19 10:34:21.741230,"(0.08339802920818329, 0.276052862405777)",1,"(0.06746253371238708, 0.28338274359703064)",1,5.022491455078125,1,5.1815185546875,1
2024-04-19 10:34:21.757773,"(0.08397521078586578, 0.2757098376750946)",1,"(0.07343476265668869, 0.28279727697372437)",1,5.0149993896484375,1,5.189910888671875,1
2024-04-19 10:34:21.774631,"(0.08717473596334457, 0.27171704173088074)",1,"(0.07437767833471298, 0.2804628610610962)",1,5.0322265625,1,5.1920928955078125,1
2024-04-19 10:34:21.791210,"(0.08832681179046631, 0.2690340280532837)",1,"(0.06866138428449631, 0.2787143886089325)",1,5.047393798828125,1,5.1924896240234375,1
2024-04-19 10:34:21.807592,"(0.0851534903049469, 0.270826131105423)",1,"(0.06467662751674652, 0.28086498379707336)",1,5.041046142578125,1,5.207275390625,1
2024-04-19 10:34:21.824508,"(0.0842646136879921, 0.2754116952419281)",1,"(0.06267519295215607, 0.28703710436820984)",1,5.0459747314453125,1,5.2161712646484375,1
2024-04-19 10:34:21.841143,"(0.08453651517629623, 0.27811992168426514)",1,"(0.06886418908834457, 0.2857567071914673)",1,5.0558013916015625,1,5.219268798828125,1
2024-04-19 10:34:21.857468,"(0.08333434909582138, 0.27739766240119934)",1,"(0.07039874792098999, 0.2803734242916107)",1,5.066986083984375,1,5.2151031494140625,1
2024-04-19 10:34:21.874468,"(0.0828520655632019, 0.2821100354194641)",1,"(0.06574719399213791, 0.27165907621383667)",1,5.072906494140625,1,5.23046875,1
2024-04-19 10:34:21.891184,"(0.08393418043851852, 0.28252974152565)",1,"(0.06571651250123978, 0.2766343951225281)",1,5.07611083984375,1,5.2266082763671875,1
2024-04-19 10:34:21.907492,"(0.082314133644104, 0.28234413266181946)",1,"(0.06741994619369507, 0.27695807814598083)",1,5.0701141357421875,1,5.22381591796875,1
2024-04-19 10:34:21.924301,"(0.08361498266458511, 0.27918511629104614)",1,"(0.06022677570581436, 0.27808716893196106)",1,5.07427978515625,1,5.2294158935546875,1
2024-04-19 10:34:21.940880,"(0.08881814777851105, 0.2726458013057709)",1,"(0.06022694706916809, 0.280773401260376)",1,5.0772247314453125,1,5.252288818359375,1
2024-04-19 10:34:21.957307,"(0.08914519101381302, 0.2689184546470642)",1,"(0.06212488189339638, 0.26781991124153137)",1,5.0809326171875,1,5.245849609375,1
2024-04-19 10:34:21.974253,"(0.08868568390607834, 0.27196526527404785)",1,"(0.06702066957950592, 0.2707776725292206)",1,5.0923919677734375,1,5.2354278564453125,1
2024-04-19 10:34:21.990791,"(0.09000126272439957, 0.2779269218444824)",1,"(0.06392142176628113, 0.2719455361366272)",1,5.0938262939453125,1,5.22509765625,1
2024-04-19 10:34:22.007265,"(0.09265444427728653, 0.2794058322906494)",1,"(0.07314073294401169, 0.27663454413414)",1,5.093505859375,1,5.216461181640625,1
2024-04-19 10:34:22.024479,"(0.08672422915697098, 0.27549606561660767)",1,"(0.06633339077234268, 0.27042922377586365)",1,5.08795166015625,1,5.2277679443359375,1
2024-04-19 10:34:22.040934,"(0.08954067528247833, 0.26868072152137756)",1,"(0.0724947452545166, 0.2640765905380249)",1,5.082672119140625,1,5.2263031005859375,1
2024-04-19 10:34:22.057481,"(0.09366842359304428, 0.2661804258823395)",1,"(0.07180505245923996, 0.2575201690196991)",1,5.0799560546875,1,5.243133544921875,1
2024-04-19 10:34:22.074221,"(0.09211840480566025, 0.2667662799358368)",1,"(0.07605510950088501, 0.2533271014690399)",1,5.080841064453125,1,5.2474365234375,1
2024-04-19 10:34:22.090708,"(0.09202015399932861, 0.26481762528419495)",1,"(0.06468217074871063, 0.26546406745910645)",1,5.0833587646484375,1,5.2475433349609375,1
2024-04-19 10:34:22.107198,"(0.09264420717954636, 0.2653031349182129)",1,"(0.07380849868059158, 0.2696985602378845)",1,5.0836944580078125,1,5.2208251953125,1
2024-04-19 10:34:22.124203,"(0.09202317148447037, 0.2648316025733948)",1,"(0.06628727167844772, 0.28341615200042725)",1,5.08428955078125,1,5.21649169921875,1
2024-04-19 10:34:22.140364,"(0.09030355513095856, 0.27151772379875183)",1,"(0.06793864071369171, 0.26876363158226013)",1,5.0764312744140625,1,5.2510986328125,1
2024-04-19 10:34:22.157359,"(0.09510129690170288, 0.26350992918014526)",1,"(0.06767319142818451, 0.26400718092918396)",1,5.082763671875,1,5.249481201171875,1
2024-04-19 10:34:22.174227,"(0.0915890783071518, 0.26751595735549927)",1,"(0.06860484182834625, 0.2795303165912628)",1,5.076416015625,1,5.2248992919921875,1
2024-04-19 10:34:22.190698,"(0.08881270885467529, 0.27245911955833435)",1,"(0.06741490960121155, 0.27390947937965393)",1,5.0598907470703125,1,5.2326202392578125,1
2024-04-19 10:34:22.206701,"(0.09153031557798386, 0.2682645618915558)",1,"(0.06839016824960709, 0.27188074588775635)",1,5.067474365234375,1,5.20855712890625,1
2024-04-19 10:34:22.223980,"(0.09210110455751419, 0.26824453473091125)",1,"(0.07225215435028076, 0.26793786883354187)",1,5.066162109375,1,5.1944122314453125,1
2024-04-19 10:34:22.241035,"(0.08927173912525177, 0.27029192447662354)",1,"(0.06961660087108612, 0.2693309783935547)",1,5.05767822265625,1,5.1912078857421875,1
2024-04-19 10:34:22.257090,"(0.08868439495563507, 0.2693338990211487)",1,"(0.07438535988330841, 0.264300137758255)",1,5.05206298828125,1,5.1863861083984375,1
2024-04-19 10:34:22.273937,"(0.092226542532444, 0.266239196062088)",1,"(0.07191909104585648, 0.2642427086830139)",1,5.04046630859375,1,5.179931640625,1
2024-04-19 10:34:22.290420,"(0.09215238690376282, 0.26238763332366943)",1,"(0.07327679544687271, 0.26464128494262695)",1,5.03271484375,1,5.17034912109375,1
2024-04-19 10:34:22.306987,"(0.09453026950359344, 0.26056331396102905)",1,"(0.07274365425109863, 0.2652854323387146)",1,5.02374267578125,1,5.163604736328125,1
2024-04-19 10:34:22.323945,"(0.09399931877851486, 0.25965219736099243)",1,"(0.06221560388803482, 0.27303221821784973)",1,5.0076904296875,1,5.115692138671875,1
2024-04-19 10:34:22.340636,"(0.09523844718933105, 0.2505743205547333)",1,"(0.0651264414191246, 0.2795178294181824)",1,4.9930877685546875,1,5.1493377685546875,1
2024-04-19 10:34:22.356661,"(0.09244561195373535, 0.2579875588417053)",1,"(0.06129184737801552, 0.2854926586151123)",1,4.97119140625,1,5.131134033203125,1
